"ID","Requisito generado","Artículo/Fuente","¿Extraído correctamente?","Nivel de fidelidad","Tipo de error (si aplica)","Justificación/Comentarios","Porcentaje de calidad","legibility_score","ambiguous_terms"
"SIR-001","El sistema debe implementar control de acceso basado en roles (RBAC) para restringir el acceso a la ePHI según el perfil del usuario.","NIST SP 800-53 Rev.5 AC-3, ISO 27002:2022 5.15, HIPAA 45 CFR §164.312(a)(1)","Sí","Alta","","Clara, sin ambigüedad. Correctamente alineada con AC-3 (RBAC), ISO 27002:2022 sobre control de acceso, y el principio HIPAA de control técnico de acceso.","45.0","56.576486521739135","[]"
"SIR-002","El sistema debe autenticar a los usuarios mediante credenciales fuertes con doble factor (2FA).","NIST SP 800-53 Rev.5 IA-2(1), ISO 27002:2022 5.17, DISA STIG V-222390","Sí","Alta","","Bien trazado. IA-2(1) exige autenticación multifactor, ISO y STIG lo refuerzan. Especificado con ejemplos (OTP/FIDO2) y evaluable.","43.0","47.46676785714288","[]"
"SIR-003","Las sesiones de usuario deben cerrarse automáticamente tras 15 minutos de inactividad.","HIPAA 45 CFR §164.312(b), DISA STIG V-222389, NIST AC-12","Sí","Alta","","Fidelidad normativa completa. HIPAA exige finalización automática, AC-12 y STIG lo validan. Cumple criterios de claridad, medida y verificabilidad.","43.0","45.55413500000001","[]"
"SIR-004","Toda la información ePHI transmitida fuera del entorno seguro debe estar cifrada mediante TLS 1.2 o superior.","HIPAA 45 CFR §164.312(e)(1), ISO 27799:2016 10.1, NIST SC-12, DISA STIG V-222396","Sí","Alta","","Correctamente alineado. SC-12 y la cláusula HIPAA son explícitas sobre cifrado en tránsito. TLS 1.2+ es adecuado. Ejemplo concreto (HTTPS).","45.0","40.22265985294119","['seguro']"
"SIR-005","La base de datos debe cifrar la ePHI en reposo usando AES-256.","NIST SC-28, ISO 27002:2022 10.1, HIPAA 45 CFR §164.312(a)(2)(iv)","Sí","Alta","","Fidelidad completa. SC-28 requiere cifrado en reposo, HIPAA lo refuerza. AES-256 es explícito y aplicable.","41.0","92.782085","[]"
"SIR-006","El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.","NIST AU-2, ISO 27002:2022 5.25, HIPAA 45 CFR §164.312(b)","Sí","Alta","","Conforme con AU-2 (registro de eventos), ISO 27002:2022 sobre trazabilidad y HIPAA sobre monitoreo de actividad. Requisito claro, evaluable y alineado con OWASP A09 y CWE-778.","45.0","44.22390500000002","[]"
"SIR-007","Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.","HIPAA §164.316(b), NIST AU-11, ISO 27002:2022 5.27","Sí","Alta","","Correctamente alineado. HIPAA establece requisitos de retención, NIST AU-11 enfatiza integridad y conservación, ISO lo respalda. Claro y trazable.","43.0","33.235152500000005","[]"
"SIR-008","El sistema debe validar de forma estricta todos los datos introducidos por usuarios para evitar inyecciones SQL o de comandos.","OWASP A03:2021, CWE-89, CWE-77, NIST SI-10","Sí","Alta","","Cumple con prácticas contra inyección: OWASP A03, CWE-89/77. SI-10 exige validaciones de entrada. Claro, evaluable (pruebas, revisión de código).","43.0","28.337705000000025","[]"
"SIR-009","El sistema debe contar con un plan documentado y probado de continuidad de negocio para asegurar la disponibilidad de la ePHI.","ISO 27002:2022 5.30, NIST CP-2, HIPAA 45 CFR §164.308(a)(7)(i)","Sí","Alta","","Cláusulas HIPAA y NIST CP-2 exigen planes de contingencia. ISO 5.30 lo especifica. Requisito claro, verificable, aplicable a escenarios reales.","43.0","42.5949542857143","[]"
"SIR-010","El sistema debe realizar copias de seguridad automáticas y regulares de todos los datos que incluyan ePHI.","HIPAA 45 CFR §164.308(a)(7)(ii)(A), NIST CP-9, ISO 27002:2022 5.33","Sí","Alta","","Requisito conforme con CP-9 y 27002:2022 5.33 sobre backup. HIPAA exige medidas de recuperación. Bien redactado, detallado, con ejemplo técnico válido.","43.0","60.54103647058827","[]"
