"ID","Requisito generado","Artículo/Fuente","¿Extraído correctamente?","Nivel de fidelidad","Tipo de error (si aplica)","Justificación/Comentarios","Porcentaje de calidad","legibility_score","ambiguous_terms"
"SEC-CAT-BAC-001","La aplicación implementará y aplicará un doble control de acceso antes de eliminar usuarios, historiales médicos. ","NIST SP 800-53 Rev.5 AC-3, HIPAA 45 CFR §164.312(a)(1), ISO/IEC 27002:2022 5.15","Sí","Alta","","Requisito coherente con el principio de control de acceso obligatorio antes de acciones críticas. Cumple fidelidad normativa.","56.25","23.114877500000016","[]"
"SEC-CAT-BAC-002","La aplicación debe incorporar mecanismos robustos de control de acceso para evitar la elusión de las comprobaciones de control de acceso mediante la manipulación de la URL. Deben evitarse y contrarrestarse las siguientes tácticas de elusión del control de acceso: 1. Modificación de la URL (manipulación de parámetros o navegación forzada). 2. Modificación del estado interno de la aplicación. 3. Modificación de la página HTML. 4. Uso de herramientas de ataque para modificar las peticiones API ","OWASP A01:2021, CWE-639, NIST SP 800-53 AC-4, AC-6(1)","Sí","Alta","","Evita control de acceso roto por manipulación. Alineado con OWASP A01 y control de flujo NIST.","56.25","38.86990973684212","[]"
"SEC-CAT-BAC-003","La aplicación debe implementar medidas de seguridad para prevenir la elevación de privilegios. Evitar situaciones en las que un usuario pueda actuar sin estar autenticado o un administrador pueda actuar como un usuario normal después de iniciar sesión. ","OWASP A01:2021, NIST SP 800-53 AC-2(4), ISO/IEC 27002:2022 5.18","Sí","Alta","","El requerimiento cubre controles para evitar escaladas de privilegios. Fidelidad clara.","56.25","31.65270263157898","[]"
"SEC-CAT-BAC-004","La aplicación debe aplicar controles de acceso estrictos y flexibles para los usuarios autorizados, impidiendo el acceso no autorizado a la API y garantizando la propiedad de los registros. ","NIST SP 800-53 AC-3, AC-6, ISO/IEC 27002:2022 5.17","Sí","Alta","","El requisito refleja el principio de acceso mínimo y control API, normativamente sólido.","53.75","18.339200000000027","[]"
"SEC-CAT-BAC-005","La aplicación debe impedir el acceso no autorizado a los dispositivos de procesamiento de datos y asignar funciones a los usuarios para proteger la integridad de la ePHI frente a alteraciones no autorizadas. ","HIPAA §164.312(a)(1), NIST SP 800-53 AC-2, AC-19","Sí","Alta","","Alineado con HIPAA y NIST para control físico y lógico de acceso a ePHI.","56.25","33.742580000000004","[]"
"SEC-CAT-BAC-006","El sistema debe permitir la asignación de usuarios a grupos de trabajo y conceder acceso a los registros en función de estos grupos. Este acceso puede ser a través de una estación de trabajo, transacción, programa, proceso u otro mecanismo. ","ISO/IEC 27002:2022 5.18, NIST SP 800-53 AC-2(7), SIREN: Control de acceso basado en roles","Sí","Alta","","Cubre control de acceso por grupos/roles, compatible con SIREN y NIST.","56.25","46.55420000000002","[]"
"SEC-CAT-BAC-007","El sistema debe aplicar medidas para controlar quién utiliza el sistema de tratamiento de datos, garantizando que los usuarios se autentiquen con un autentificador individual antes de utilizar un autentificador de grupo. ","NIST SP 800-53 IA-2, IA-8, ISO/IEC 27002:2022 5.15","Sí","Alta","","Describe doble autenticación progresiva, alineada con controles de identificación.","53.75","15.16340375000004","[]"
"SEC-CAT-BAC-008","El sistema debe establecer un proceso formal de alta y baja de usuarios que facilite el acceso a los sistemas de información sanitaria. Este proceso debe garantizar un alineamiento consistente entre el nivel de autenticación, el mapeo de usuarios a roles, roles a funciones del sistema, y el nivel de acceso a ser otorgado al usuario. ","ISO/IEC 27002:2022 5.17, NIST SP 800-53 AC-2, SIREN","Sí","Alta","","Fuerte correspondencia con estándares para el ciclo de vida de cuentas.","56.25","38.205058571428594","[]"
"SEC-CAT-CRF-001","El sistema debe implantar una infraestructura criptográfica robusta validada por FIPS para cifrar y descifrar la información sanitaria protegida electrónicamente con el fin de garantizar una protección adecuada de la información sensible. ","HIPAA §164.312(e)(1), FIPS 140-2, NIST SP 800-53 SC-12","Sí","Alta","","Alineado con estándares FIPS para cifrado obligatorio en ePHI.","56.25","0.0","[]"
"SEC-CAT-CRF-002","La aplicación debe garantizar la seguridad de la integridad y confidencialidad durante la transmisión de la ePHI a través de redes electrónicas siguiendo las normas de salvaguarda técnica establecidas en el marco normativo. ","HIPAA §164.312(e)(1), NIST SP 800-53 SC-12, SC-13","Sí","Alta","","Correctamente refleja controles de transmisión segura para ePHI.","53.75","9.208580000000016","[]"
