ID,Descripción
SEC-CAT-BAC-001,"The application will implement and apply dual access control prior to deleting users, medical records."
SEC-CAT-BAC-002,"The application must incorporate robust access control mechanisms to prevent circumvention of access control checks by manipulating the URL. The following access control bypass tactics should be avoided and counteracted: 1. Modification of the URL (parameter manipulation or forced navigation). 2. Modification of the internal state of the application. 3. Modification of the HTML page. 4. Use of attack tools to modify API requests"
SEC-CAT-BAC-003,"The application must implement security measures to prevent the elevation of privileges. Prevent situations where a user can act without being authenticated or an administrator can act as a regular user after logging in."
SEC-CAT-BAC-004,"The application must enforce strict and flexible access controls for authorized users, preventing unauthorized access to the API and ensuring record ownership."
SEC-CAT-BAC-005,"The application must prevent unauthorized access to data processing devices and assign roles to users to protect the integrity of ePHI against unauthorized alterations."
SEC-CAT-BAC-006,"The system must allow users to be assigned to workgroups and grant access to records based on these groups. This access may be through a workstation, transaction, program, process, or other mechanism."
SEC-CAT-BAC-007,"The system must implement measures to control who uses the data processing system by ensuring that users are authenticated with an individual authenticator before using a group authenticator."
SEC-CAT-BAC-008,"The system is required to establish a formal process for user registration and deregistration, facilitating access to health information systems. This process must guarantee a consistent alignment between the authentication level, the mapping of users to roles, roles to system functions, and the level of access to be granted to the user."
SEC-CAT-CRF-001,"The system must implement a robust FIPS-validated cryptographic infrastructure to encrypt and decrypt electronically protected health information to ensure adequate protection of sensitive information."
SEC-CAT-CRF-002,"The application must ensure the security of integrity and confidentiality during the transmission of ePHI over electronic networks following the technical safeguards standards established in the regulatory framework."
SEC-CAT-CRF-003,"The application must ensure secure storage of the session identifier, ensuring that at no time is the generated session ID included in requests via the URL."
SEC-CAT-CRF-004,"The application must ensure message encryption when the SessionIndex is linked to privacy data."
SEC-CAT-CRF-005,"The application must exclusively store cryptographic representations of passwords, following best practices and using FIPS-validated cryptographic modules."
SEC-CAT-INJ-001,"The application must implement data entry validation measures before storing them to guarantee the integrity and security of the information processed, stored, or accessible through end-user point devices."
SEC-CAT-INJ-002,"The application must be secure against SQL injection attacks. It is necessary to avoid possible security problems related to SQL injection and adjust the application to eliminate any risk associated with this attack."
SEC-CAT-INJ-003,"The application must implement effective restrictions on the types of files that users can upload to prevent the upload of dangerous files that may be automatically processed in the application environment."
SEC-CAT-INJ-004,"The application must implement protection measures against command injections. Depending on the application's architecture, the application must be modified to escape/sanitize special character input or configure the system to protect against command injection attacks."
SEC-CAT-INJ-005,"The application must implement protection measures against Cross-Site Scripting (XSS) vulnerabilities to prevent malicious code injection attacks."
SEC-CAT-INJ-006,"The application must implement an information output validation mechanism for the following software programs and/or applications: [reporting, data tables listing]."
SEC-CAT-IND-001,"The system must ensure that data is only processed following the directives provided in the data flow control."
SEC-CAT-IND-002,"The system must implement measures to prevent unauthorized and involuntary transfer of information through shared system resources."
SEC-CAT-IND-003,"The application must show a system of use of the system and privacy notification before granting access. This notice must contain information about the property of the system, the monitoring, recording, and auditing of use, the penalties for unauthorized use, and the acceptance of these conditions by the user."
SEC-CAT-IND-004,"The system must generate error messages that provide the user with the information necessary for corrective actions without revealing details that can be exploited."
SEC-CAT-IND-005,"The application must physically or logically separate the functionality of the user, including user interface services and system management functionality."
SEC-CAT-IND-006,"The application should be designed not to use emerging or non-categorized mobile code."
SEC-CAT-IND-007,"The application should not contain authentication data incorporated into its code, configuration files, scripts, HTML files, or any ASCII file."
SEC-CAT-IND-008,"The application should not write sensitive data in the application records. The application must be designed or reconfigured to avoid including sensitive data in the records."
SEC-CAT-IND-009,"The application should not unnecessarily store or retain sensitive information in hidden fields. It is imperative to eliminate this information as soon as possible, or instead, use practices such as token or truncation, following the guidelines of PCI DSS to guarantee safe storage."
SEC-CAT-IND-010,"The application must ensure that the configuration and control files are not stored in the same directory as the user data. The application user data must be located in a directory different from the application code, and user file permits must be established to restrict user access to application configuration."
SEC-CAT-IND-011,"The application should not be housed on a general-purpose server if the application is designated as critical or high availability by the Information Security Officer (ISSO). Critical applications not shared by other less critical applications must be implemented on servers."
SEC-CAT-IND-012,"The application must implement an adequate limitation of access routes to prevent malicious route manipulation that can lead to unauthorized revelation of files or directories."
SEC-CAT-IND-013,"The application must be protected against vulnerabilities of canonical representation. An adequate canonical form must be selected, and the entire user entry must be canonized before authorization decisions are made."
SEC-CAT-IND-014,"The application must incorporate a 'safe failure' approach through safe error management to prevent vulnerabilities derived from incorrect management of return codes and exceptions in all system components."
SEC-CAT-IND-015,"The application should not be vulnerable to race conditions."
SEC-CAT-IND-016,"The application must implement measures to prevent memory use after being released since referring to memory after release can cause program failures, the use of unexpected values, or execute unwanted code."
SEC-CAT-IND-017,"The application should prevent null pointer reference, avoiding trying to access a null pointer, which could result in unexpected failure or exit."
SEC-CAT-IND-018,"The application must implement controls defined by the organization to protect the system's memory against unauthorized code execution."
SEC-CAT-IND-019,"The application should not be vulnerable to buffer overflow attacks."
SEC-CAT-IND-020,"The application should be designed to use components that are not vulnerable to XML attacks."
SEC-CAT-IND-021,"The application must implement repetition-resistant authentication mechanisms for network access for privileged and non-privileged accounts."
SEC-CAT-IND-022,"Applications with SOAP messages requiring integrity must include the following message elements: -Message ID -Service Request -Timestamp -SAML Assertion (optionally included in messages), and all elements of the message must be digitally signed."
SEC-CAT-IND-023,"The application must authenticate all the endpoint devices connected to the network before establishing any connection."
SEC-CAT-IND-024,"Safe messages with WS-Security must have time stamps indicating when they were created and expired. The application must be designed to use these time stamps and sequence numbers in WS-Security messages."
SEC-CAT-IND-025,"The application must verify the validity periods in all messages that WS-SECURITY or SAML statements use. Design and configure the application to use and verify validity periods in all token WS-Security profiles and SAML statements."
SEC-CAT-SEM-001,"The application must define, document, and implement configurations, including security, hardware, software, services, and networks, adjusting them in the most restrictive way consistent with operational requirements."
SEC-CAT-SEM-002,"The application must define and implement due security settings to avoid DDoS attacks."
SEC-CAT-SEM-003,"The application must implement measures to validate the deserialization of non-reliable data and ensure the resulting data are valid before processing them."
SEC-CAT-SEM-004,"The application must be protected against Vulnerabilities of CROSS-SITE REQUEST FORGERY (CSRF) through the configuration to use unpredictable challenge tokens and verify the HTTP referrer, ensuring that the application was issued from the site itself. In addition, mitigating controls must be implemented as necessary, such as using web reputation services."
SEC-CAT-SEM-005,"The application must be configured to deactivate non-essential capabilities."
SEC-CAT-SEM-006,"The application should avoid showing users what is not required to users. It is necessary to configure it so that it does not reveal technical details about architecture in error events."
SEC-CAT-SEM-007,"The application must identify and authenticate uniquely non-organizational users (or processes that act in the name of non-organizational users)."
SEC-CAT-SEM-008,"The application must identify and authenticate uniquely organizational users (or processes that act in the name of organizational users)."
SEC-CAT-SEM-009,"The applications that issue SAML statements must use random numbers approved by FIPS to generate SAML session in Saml's AuthnStatement element."
SEC-CAT-SEM-010,"The application must ensure that each party that makes statements (Asserting Party) provides unique identifiers for each SAML statement (Security Assertion Markup Language). It is required to design and configure each SAML statement authority to use unique affirmation identifiers."
SEC-CAT-SEM-011,"The application must guarantee the use of encrypted statements or equivalent confidentiality protections when the statement data is transmitted through an intermediary, and the confidentiality of the statements of statements is necessary during the transmission through the intermediary."
SEC-CAT-SEM-012,"The application should use both the <NotBefore> y <NotOnOrAfter> elements and the <OneTimeUse> element when using the <Conditions> element in a SAML Assertion."
SEC-CAT-SEM-013,"The application should use the NotOnOrAfter condition when using the SubjectConfirmation element in a SAML assertion."
SEC-CAT-SEM-014,"The application must configure session cookies with the following properties: o Establish the HTTPOnly flag in session cookies. o Ensure that the safe flag (Secure) is activated in session cookies."
SEC-CAT-VOC-001,"Keep updated on the components or libraries of the application."
SEC-CAT-VOC-002,"The libraries or software components that do not have the support or maintenance must be removed or replaced."
SEC-CAT-VOC-003,"The application must provide notifications or alerts when product updates and safety-related patches are available."
SEC-CAT-IAF-001,"The application must identify user actions that can be carried out in the system without requiring identification or authentication."
SEC-CAT-IAF-002,"All organizations that connect to the Health Electronic Registry Information System (EHRI) must submit to possible users of Systems Point of Sale (POS) that link to EHRI to a formal process of registration of Users."
SEC-CAT-IAF-003,"The application, when using PKI-based authentication, must validate certificates by building a certification chain (including state information) to an accepted trust anchor, so the application must be designed to create a certification chain to a Trust Anchor accepted when using PKI-based authentication."
SEC-CAT-IAF-004,"The application, when using authentication based on public key infrastructure (PKI), must enforce authorized access to the corresponding private key, so the application or relevant access control mechanism must be configured to guarantee authorized access to the private key(s) of the application."
SEC-CAT-IAF-005,"The application must implement procedures to verify that the person or entity that seeks access to protected electronic health information is what it claims to be."
SEC-CAT-IAF-006,"The application must impose a limit of 3 invalid login attempts by a user during 15 minutes and automatically block the account for 1 hour; block the account or node until an administrator releases it; delay the next login notice for 1 hour; notify the system administrator; take permanent account blocking when the maximum number of failed attempts is exceeded."
SEC-CAT-IAF-007,"The application must implement procedures to verify that the person or entity that seeks access to protected electronic health information is what it claims to be."
