Req_1_ID,Req_1,Req_2_ID,Req_2,Similarity
SEC-CAT-BAC-002,The application must incorporate robust access control mechanisms to prevent circumvention of access control checks by manipulating the URL. The following access control bypass tactics should be avoided and counteracted: 1. Modification of the URL (parameter manipulation or forced navigation). 2. Modification of the internal state of the application. 3. Modification of the HTML page. 4. Use of attack tools to modify API requests,SEC-CAT-BAC-004,"The application must enforce strict and flexible access controls for authorized users, preventing unauthorized access to the API and ensuring record ownership.",0.7161256
SEC-CAT-BAC-003,The application must implement security measures to prevent the elevation of privileges. Prevent situations where a user can act without being authenticated or an administrator can act as a regular user after logging in.,SEC-CAT-BAC-004,"The application must enforce strict and flexible access controls for authorized users, preventing unauthorized access to the API and ensuring record ownership.",0.7495414
SEC-CAT-BAC-003,The application must implement security measures to prevent the elevation of privileges. Prevent situations where a user can act without being authenticated or an administrator can act as a regular user after logging in.,SEC-CAT-BAC-005,The application must prevent unauthorized access to data processing devices and assign roles to users to protect the integrity of ePHI against unauthorized alterations.,0.70156
SEC-CAT-BAC-003,The application must implement security measures to prevent the elevation of privileges. Prevent situations where a user can act without being authenticated or an administrator can act as a regular user after logging in.,SEC-CAT-IAF-012,The application must implement safe login procedures that protect against login attempts by brute force.,0.72173893
SEC-CAT-BAC-003,The application must implement security measures to prevent the elevation of privileges. Prevent situations where a user can act without being authenticated or an administrator can act as a regular user after logging in.,SEC-CAT-IAF-026,"The application must prevent users, except the administrator or the user associated with the password, from making password changes.",0.79080904
SEC-CAT-BAC-003,The application must implement security measures to prevent the elevation of privileges. Prevent situations where a user can act without being authenticated or an administrator can act as a regular user after logging in.,SEC-CAT-IAF-036,"The application must be able to revoke the user's access privileges on time, which implies immediately preventing the user from accessing the system once their privileges have been revoked.",0.7227087
SEC-CAT-BAC-004,"The application must enforce strict and flexible access controls for authorized users, preventing unauthorized access to the API and ensuring record ownership.",SEC-CAT-BAC-005,The application must prevent unauthorized access to data processing devices and assign roles to users to protect the integrity of ePHI against unauthorized alterations.,0.724359
SEC-CAT-BAC-004,"The application must enforce strict and flexible access controls for authorized users, preventing unauthorized access to the API and ensuring record ownership.",SEC-CAT-IND-018,The application must implement controls defined by the organization to protect the system's memory against unauthorized code execution.,0.7111726
SEC-CAT-BAC-004,"The application must enforce strict and flexible access controls for authorized users, preventing unauthorized access to the API and ensuring record ownership.",SEC-CAT-IND-021,The application must implement repetition-resistant authentication mechanisms for network access for privileged and non-privileged accounts.,0.75703365
SEC-CAT-BAC-005,The application must prevent unauthorized access to data processing devices and assign roles to users to protect the integrity of ePHI against unauthorized alterations.,SEC-CAT-CRF-002,The application must ensure the security of integrity and confidentiality during the transmission of ePHI over electronic networks following the technical safeguards standards established in the regulatory framework.,0.73402363
