ID,Descripción
SEC-CAT-BAC-001, "La aplicación implementará y aplicará un doble control de acceso antes de eliminar usuarios, historiales médicos."
SEC-CAT-BAC-002, "La aplicación debe incorporar mecanismos robustos de control de acceso para evitar la elusión de las comprobaciones de control de acceso mediante la manipulación de la URL. Deben evitarse y contrarrestarse las siguientes tácticas de elusión del control de acceso: 1. Modificación de la URL (manipulación de parámetros o navegación forzada). 2. Modificación del estado interno de la aplicación. 3. Modificación de la página HTML. 4. Uso de herramientas de ataque para modificar las peticiones API"
SEC-CAT-BAC-003, "La aplicación debe implementar medidas de seguridad para prevenir la elevación de privilegios. Evitar situaciones en las que un usuario pueda actuar sin estar autenticado o un administrador pueda actuar como un usuario normal después de iniciar sesión."
SEC-CAT-BAC-004, "La aplicación debe aplicar controles de acceso estrictos y flexibles para los usuarios autorizados, impidiendo el acceso no autorizado a la API y garantizando la propiedad de los registros."
SEC-CAT-BAC-005, "La aplicación debe impedir el acceso no autorizado a los dispositivos de procesamiento de datos y asignar funciones a los usuarios para proteger la integridad de la ePHI frente a alteraciones no autorizadas."
SEC-CAT-BAC-006, "El sistema debe permitir la asignación de usuarios a grupos de trabajo y conceder acceso a los registros en función de estos grupos. Este acceso puede ser a través de una estación de trabajo, transacción, programa, proceso u otro mecanismo."
SEC-CAT-BAC-007, "El sistema debe aplicar medidas para controlar quién utiliza el sistema de tratamiento de datos, garantizando que los usuarios se autentiquen con un autentificador individual antes de utilizar un autentificador de grupo."
SEC-CAT-BAC-008, "El sistema debe establecer un proceso formal de alta y baja de usuarios que facilite el acceso a los sistemas de información sanitaria. Este proceso debe garantizar un alineamiento consistente entre el nivel de autenticación, el mapeo de usuarios a roles, roles a funciones del sistema, y el nivel de acceso a ser otorgado al usuario."
SEC-CAT-CRF-001, "El sistema debe implantar una infraestructura criptográfica robusta validada por FIPS para cifrar y descifrar la información sanitaria protegida electrónicamente con el fin de garantizar una protección adecuada de la información sensible."
SEC-CAT-CRF-002, "La aplicación debe garantizar la seguridad de la integridad y confidencialidad durante la transmisión de la ePHI a través de redes electrónicas siguiendo las normas de salvaguarda técnica establecidas en el marco normativo."
SEC-CAT-CRF-003, "La aplicación debe garantizar el almacenamiento seguro del identificador de sesión, asegurando que en ningún momento se incluya el identificador de sesión generado en las peticiones a través de la URL."
SEC-CAT-CRF-004, "La aplicación debe garantizar el cifrado de los mensajes cuando el SessionIndex esté vinculado a datos de privacidad."
SEC-CAT-CRF-005, "La aplicación debe almacenar exclusivamente representaciones criptográficas de contraseñas, siguiendo las mejores prácticas y utilizando módulos criptográficos validados por FIPS."
SEC-CAT-INJ-001, "La aplicación debe implementar medidas de validación de la entrada de datos antes de almacenarlos para garantizar la integridad y seguridad de la información procesada, almacenada o accesible a través de dispositivos de punto de usuario final."
SEC-CAT-INJ-002, "La aplicación debe ser segura frente a ataques de inyección SQL. Es necesario evitar posibles problemas de seguridad relacionados con la inyección SQL y ajustar la aplicación para eliminar cualquier riesgo asociado a este ataque."
SEC-CAT-INJ-003, "La aplicación debe implementar restricciones efectivas sobre los tipos de archivos que los usuarios pueden cargar para evitar la carga de archivos peligrosos que puedan ser procesados automáticamente en el entorno de la aplicación."
SEC-CAT-INJ-004, "La aplicación debe implementar medidas de protección contra inyecciones de comandos. Dependiendo de la arquitectura de la aplicación, ésta debe ser modificada para escapar/sanitizar la entrada de caracteres especiales o configurar el sistema para proteger contra ataques de inyección de comandos."
SEC-CAT-INJ-005, "La aplicación debe implementar medidas de protección contra vulnerabilidades de Cross-Site Scripting (XSS) para prevenir ataques de inyección de código malicioso."
SEC-CAT-INJ-006, "La aplicación debe implementar un mecanismo de validación de salida de información para los siguientes programas de software y/o aplicaciones: [informes listado de tablas de datos]."
SEC-CAT-IND-001, "El sistema debe garantizar que los datos sólo se procesan siguiendo las directivas proporcionadas en el control de flujo de datos."
SEC-CAT-IND-002, "El sistema debe aplicar medidas para impedir la transferencia no autorizada e involuntaria de información a través de los recursos compartidos del sistema."
SEC-CAT-IND-003, "La aplicación debe mostrar una notificación de uso del sistema y de privacidad antes de conceder el acceso. Este aviso debe contener información sobre la propiedad del sistema, la supervisión, registro y auditoría del uso, las sanciones por uso no autorizado y la aceptación de estas condiciones por parte del usuario."
SEC-CAT-IND-004, "El sistema debe generar mensajes de error que proporcionen al usuario la información necesaria para realizar acciones correctivas sin revelar detalles que puedan ser explotados."
SEC-CAT-IND-005, "La aplicación debe separar física o lógicamente la funcionalidad del usuario, incluidos los servicios de interfaz de usuario y la funcionalidad de gestión del sistema."
SEC-CAT-IND-006, "La aplicación debe estar diseñada para no utilizar código móvil emergente o no categorizado."
SEC-CAT-IND-007, "La aplicación no debe contener datos de autenticación incorporados en su código, archivos de configuración, scripts, archivos HTML o cualquier archivo ASCII."
SEC-CAT-IND-008, "La aplicación no debe escribir datos sensibles en los registros de la aplicación. La aplicación debe diseñarse o reconfigurarse para evitar incluir datos sensibles en los registros."
SEC-CAT-IND-009, "La aplicación no debe almacenar o retener innecesariamente información sensible en campos ocultos. Es imprescindible eliminar esta información lo antes posible, o en su lugar, utilizar prácticas como el token o el truncado, siguiendo las directrices de PCI DSS para garantizar un almacenamiento seguro."
SEC-CAT-IND-010, "La aplicación debe garantizar que los archivos de configuración y control no se almacenan en el mismo directorio que los datos de usuario. Los datos de usuario de la aplicación deben estar ubicados en un directorio distinto del código de la aplicación, y deben establecerse permisos para los archivos de usuario a fin de restringir el acceso de los usuarios a la configuración de la aplicación."
SEC-CAT-IND-011, "La aplicación no debe alojarse en un servidor de propósito general si la aplicación es designada como crítica o de alta disponibilidad por el Oficial de Seguridad de la Información (ISSO). Las aplicaciones críticas no compartidas por otras aplicaciones menos críticas deben implementarse en servidores."
