ID,Descripción,Legibility_Score,Max_Similarity
SEC-CAT-BAC-001,"The application will implement and apply dual access control prior to deleting users, medical records.",13.95,0.57-SEC-CAT-LMF-010
SEC-CAT-BAC-002,The application must incorporate robust access control mechanisms to prevent circumvention of access control checks by manipulating the URL. The following access control bypass tactics should be avoided and counteracted: 1. Modification of the URL (parameter manipulation or forced navigation). 2. Modification of the internal state of the application. 3. Modification of the HTML page. 4. Use of attack tools to modify API requests,18.31,0.64-SEC-CAT-IND-012
SEC-CAT-BAC-003,The application must implement security measures to prevent the elevation of privileges. Prevent situations where a user can act without being authenticated or an administrator can act as a regular user after logging in.,20.38,0.71-SEC-CAT-IAF-036
SEC-CAT-BAC-004,"The application must enforce strict and flexible access controls for authorized users, preventing unauthorized access to the API and ensuring record ownership.",6.84,0.67-SEC-CAT-BAC-003
SEC-CAT-BAC-005,The application must prevent unauthorized access to data processing devices and assign roles to users to protect the integrity of ePHI against unauthorized alterations.,4.82,0.72-SEC-CAT-SDF-007
SEC-CAT-BAC-006,"The system must allow users to be assigned to workgroups and grant access to records based on these groups. This access may be through a workstation, transaction, program, process, or other mechanism.",55.24,0.60-SEC-CAT-BAC-007
SEC-CAT-BAC-007,The system must implement measures to control who uses the data processing system by ensuring that users are authenticated with an individual authenticator before using a group authenticator.,0.76,0.65-SEC-CAT-IND-002
SEC-CAT-BAC-008,"The system is required to establish a formal process for user registration and deregistration, facilitating access to health information systems. This process must guarantee a consistent alignment between the authentication level, the mapping of users to roles, roles to system functions, and the level of access to be granted to the user.",28.17,0.66-SEC-CAT-IAF-005
SEC-CAT-CRF-001,The system must implement a robust FIPS-validated cryptographic infrastructure to encrypt and decrypt electronically protected health information to ensure adequate protection of sensitive information.,-29.03,0.61-SEC-CAT-CRF-005
SEC-CAT-CRF-002,The application must ensure the security of integrity and confidentiality during the transmission of ePHI over electronic networks following the technical safeguards standards established in the regulatory framework.,-16.17,0.72-SEC-CAT-LMF-001
SEC-CAT-CRF-003,"The application must ensure secure storage of the session identifier, ensuring that at no time is the generated session ID included in requests via the URL.",19.71,0.68-SEC-CAT-IAF-035
SEC-CAT-CRF-004,The application must ensure message encryption when the SessionIndex is linked to privacy data.,31.89,0.67-SEC-CAT-CRF-003
SEC-CAT-CRF-005,"The application must exclusively store cryptographic representations of passwords, following best practices and using FIPS-validated cryptographic modules.",-21.93,0.61-SEC-CAT-CRF-001
SEC-CAT-INJ-001,"The application must implement data entry validation measures before storing them to guarantee the integrity and security of the information processed, stored, or accessible through end-user point devices.",0.76,0.65-SEC-CAT-SEM-003
SEC-CAT-INJ-002,The application must be secure against SQL injection attacks. It is necessary to avoid possible security problems related to SQL injection and adjust the application to eliminate any risk associated with this attack.,3.97,0.53-SEC-CAT-INJ-004
SEC-CAT-INJ-003,The application must implement effective restrictions on the types of files that users can upload to prevent the upload of dangerous files that may be automatically processed in the application environment.,23.09,0.66-SEC-CAT-IND-012
SEC-CAT-INJ-004,"The application must implement protection measures against command injections. Depending on the application's architecture, the application must be modified to escape/sanitize special character input or configure the system to protect against command injection attacks.",3.46,0.60-SEC-CAT-IND-018
SEC-CAT-INJ-005,The application must implement protection measures against Cross-Site Scripting (XSS) vulnerabilities to prevent malicious code injection attacks.,-5.01,0.54-SEC-CAT-SEM-004
SEC-CAT-INJ-006,"The application must implement an information output validation mechanism for the following software programs and/or applications: [reporting, data tables listing].",-16.51,0.60-SEC-CAT-INJ-001
SEC-CAT-IND-001,The system must ensure that data is only processed following the directives provided in the data flow control.,44.75,0.53-SEC-CAT-BAC-007
SEC-CAT-IND-002,The system must implement measures to prevent unauthorized and involuntary transfer of information through shared system resources.,11.92,0.65-SEC-CAT-BAC-007
SEC-CAT-IND-003,"The application must show a system of use of the system and privacy notification before granting access. This notice must contain information about the property of the system, the monitoring, recording, and auditing of use, the penalties for unauthorized use, and the acceptance of these conditions by the user.",29.69,0.67-SEC-CAT-LMF-008
SEC-CAT-IND-004,The system must generate error messages that provide the user with the information necessary for corrective actions without revealing details that can be exploited.,13.28,0.61-SEC-CAT-IND-014
SEC-CAT-IND-005,"The application must physically or logically separate the functionality of the user, including user interface services and system management functionality.",-24.97,0.59-SEC-CAT-IND-010
SEC-CAT-IND-006,The application should be designed not to use emerging or non-categorized mobile code.,41.36,0.58-SEC-CAT-IND-015
SEC-CAT-IND-007,"The application should not contain authentication data incorporated into its code, configuration files, scripts, HTML files, or any ASCII file.",0.42,0.62-SEC-CAT-IND-010
SEC-CAT-IND-008,The application should not write sensitive data in the application records. The application must be designed or reconfigured to avoid including sensitive data in the records.,32.9,0.58-SEC-CAT-IND-007
SEC-CAT-IND-009,"The application should not unnecessarily store or retain sensitive information in hidden fields. It is imperative to eliminate this information as soon as possible, or instead, use practices such as token or truncation, following the guidelines of PCI DSS to guarantee safe storage.",24.27,0.55-SEC-CAT-IND-008
SEC-CAT-IND-010,"The application must ensure that the configuration and control files are not stored in the same directory as the user data. The application user data must be located in a directory different from the application code, and user file permits must be established to restrict user access to application configuration.",20.72,0.63-SEC-CAT-IND-018
SEC-CAT-IND-011,The application should not be housed on a general-purpose server if the application is designated as critical or high availability by the Information Security Officer (ISSO). Critical applications not shared by other less critical applications must be implemented on servers.,8.88,0.57-SEC-CAT-LMF-032
SEC-CAT-IND-012,The application must implement an adequate limitation of access routes to prevent malicious route manipulation that can lead to unauthorized revelation of files or directories.,3.8,0.66-SEC-CAT-INJ-003
SEC-CAT-IND-013,"The application must be protected against vulnerabilities of canonical representation. An adequate canonical form must be selected, and the entire user entry must be canonized before authorization decisions are made.",-2.98,0.59-SEC-CAT-BAC-003
SEC-CAT-IND-014,The application must incorporate a 'safe failure' approach through safe error management to prevent vulnerabilities derived from incorrect management of return codes and exceptions in all system components.,9.22,0.61-SEC-CAT-IND-004
SEC-CAT-IND-015,The application should not be vulnerable to race conditions.,36.96,0.62-SEC-CAT-IND-019
SEC-CAT-IND-016,"The application must implement measures to prevent memory use after being released since referring to memory after release can cause program failures, the use of unexpected values, or execute unwanted code.",14.63,0.64-SEC-CAT-IND-018
SEC-CAT-IND-017,"The application should prevent null pointer reference, avoiding trying to access a null pointer, which could result in unexpected failure or exit.",32.22,0.51-SEC-CAT-IND-019
SEC-CAT-IND-018,The application must implement controls defined by the organization to protect the system's memory against unauthorized code execution.,2.44,0.64-SEC-CAT-IND-016
SEC-CAT-IND-019,The application should not be vulnerable to buffer overflow attacks.,27.49,0.62-SEC-CAT-IND-015
SEC-CAT-IND-020,The application should be designed to use components that are not vulnerable to XML attacks.,39.33,0.56-SEC-CAT-SDF-002
SEC-CAT-IND-021,The application must implement repetition-resistant authentication mechanisms for network access for privileged and non-privileged accounts.,-36.82,0.74-SEC-CAT-IAF-008
SEC-CAT-IND-022,"Applications with SOAP messages requiring integrity must include the following message elements: -Message ID -Service Request -Timestamp -SAML Assertion (optionally included in messages), and all elements of the message must be digitally signed.",-4.33,0.61-SEC-CAT-IND-025
SEC-CAT-IND-023,The application must authenticate all the endpoint devices connected to the network before establishing any connection.,4.47,0.55-SEC-CAT-IAF-014
SEC-CAT-IND-024,Safe messages with WS-Security must have time stamps indicating when they were created and expired. The application must be designed to use these time stamps and sequence numbers in WS-Security messages.,47.28,0.70-SEC-CAT-IND-025
SEC-CAT-IND-025,The application must verify the validity periods in all messages that WS-SECURITY or SAML statements use. Design and configure the application to use and verify validity periods in all token WS-Security profiles and SAML statements.,19.87,0.70-SEC-CAT-IND-024
SEC-CAT-SEM-001,"The application must define, document, and implement configurations, including security, hardware, software, services, and networks, adjusting them in the most restrictive way consistent with operational requirements.",-14.14,0.59-SEC-CAT-IND-005
SEC-CAT-SEM-002,The application must define and implement due security settings to avoid DDoS attacks.,32.9,0.58-SEC-CAT-SEM-001
SEC-CAT-SEM-003,The application must implement measures to validate the deserialization of non-reliable data and ensure the resulting data are valid before processing them.,6.84,0.67-SEC-CAT-SDF-005
SEC-CAT-SEM-004,"The application must be protected against Vulnerabilities of CROSS-SITE REQUEST FORGERY (CSRF) through the configuration to use unpredictable challenge tokens and verify the HTTP referrer, ensuring that the application was issued from the site itself. In addition, mitigating controls must be implemented as necessary, such as using web reputation services.",3.8,0.62-SEC-CAT-BAC-002
SEC-CAT-SEM-005,The application must be configured to deactivate non-essential capabilities.,-30.73,0.53-SEC-CAT-IAF-036
SEC-CAT-SEM-006,The application should avoid showing users what is not required to users. It is necessary to configure it so that it does not reveal technical details about architecture in error events.,38.82,0.59-SEC-CAT-IND-004
SEC-CAT-SEM-007,The application must identify and authenticate uniquely non-organizational users (or processes that act in the name of non-organizational users).,-7.04,0.92-SEC-CAT-SEM-008
SEC-CAT-SEM-008,The application must identify and authenticate uniquely organizational users (or processes that act in the name of organizational users).,-7.04,0.92-SEC-CAT-SEM-007
SEC-CAT-SEM-009,The applications that issue SAML statements must use random numbers approved by FIPS to generate SAML session in Saml's AuthnStatement element.,33.24,0.68-SEC-CAT-SEM-010
