PUID,description,tag,norma_sugerida,rationale,verification,priority
SIR-001,El sistema debe implementar control de acceso basado en roles (RBAC) para restringir el acceso a la ePHI según el perfil del usuario.,covered,"NIST SP 800-53 Rev.5 AC-3, ISO 27002:2022 5.15, HIPAA 45 CFR §164.312(a)(1)",Minimiza el riesgo de acceso no autorizado a información sensible. Es fundamental para proteger la confidencialidad de los datos de salud.,Inspección del sistema de gestión de identidades y roles + prueba funcional de acceso.,H
SIR-002,El sistema debe autenticar a los usuarios mediante credenciales fuertes con doble factor (2FA).,covered,"NIST SP 800-53 Rev.5 IA-2(1), ISO 27002:2022 5.17, DISA STIG V-222390","Previene el acceso fraudulento por robo o suplantación de credenciales, especialmente en entornos expuestos (teletrabajo, móviles).",Revisión de política de autenticación y pruebas de acceso con 2FA.,H
SIR-003,Las sesiones de usuario deben cerrarse automáticamente tras 15 minutos de inactividad.,covered,"HIPAA 45 CFR §164.312(b), DISA STIG V-222389, NIST AC-12",Reduce el riesgo de secuestro de sesión cuando un usuario deja una sesión activa sin supervisión.,Configuración del sistema + pruebas de expiración de sesión.,M
SIR-004,Toda la información ePHI transmitida fuera del entorno seguro debe estar cifrada mediante TLS 1.2 o superior.,covered,"HIPAA 45 CFR §164.312(e)(1), ISO 27799:2016 10.1, NIST SC-12, DISA STIG V-222396",Protege la confidencialidad e integridad de la ePHI durante su transmisión en redes no confiables.,"Análisis de red, escaneo de configuración SSL/TLS.",H
SIR-005,La base de datos debe cifrar la ePHI en reposo usando AES-256.,covered,"NIST SC-28, ISO 27002:2022 10.1, HIPAA 45 CFR §164.312(a)(2)(iv)",Protege la confidencialidad de los datos en caso de acceso físico o lógico a los servidores.,Revisión técnica del sistema de almacenamiento y configuración de cifrado.,H
SIR-006,"El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.",covered,"NIST AU-2, ISO 27002:2022 5.25, HIPAA 45 CFR §164.312(b)",Permite detectar accesos no autorizados o anómalos a información crítica.,"Revisión de archivos de log, pruebas de auditoría.",H
SIR-007,Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.,covered,"HIPAA §164.316(b), NIST AU-11, ISO 27002:2022 5.27",Garantiza evidencia de cumplimiento y soporte en auditorías.,Configuración de retención y control de integridad de logs.,H
SIR-008,El sistema debe validar de forma estricta todos los datos introducidos por usuarios para evitar inyecciones SQL o de comandos.,covered,"OWASP A03:2021, CWE-89, CWE-77, NIST SI-10",Previene ataques que podrían comprometer la integridad del sistema y exfiltrar información sensible.,"Revisión de código, pruebas de penetración y fuzzing.",H
SIR-009,El sistema debe contar con un plan documentado y probado de continuidad de negocio para asegurar la disponibilidad de la ePHI.,covered,"ISO 27002:2022 5.30, NIST CP-2, HIPAA 45 CFR §164.308(a)(7)(i)","Garantiza la disponibilidad de la ePHI ante desastres naturales, fallos tecnológicos o ataques.",Revisión del plan de continuidad y pruebas de simulación.,H
SIR-010,El sistema debe realizar copias de seguridad automáticas y regulares de todos los datos que incluyan ePHI.,covered,"HIPAA 45 CFR §164.308(a)(7)(ii)(A), NIST CP-9, ISO 27002:2022 5.33",Asegura la restauración de la ePHI ante fallos o incidentes.,Auditoría de políticas de backup y verificación de registros.,H
