"id";"pregunta";"Sí";"No";"N-A"
"SIR-001";"¿El sistema debe implementar control de acceso basado en roles (RBAC) para restringir el acceso a la ePHI según el perfil del usuario.?";"";"";""
"SIR-002";"¿El sistema debe autenticar a los usuarios mediante credenciales fuertes con doble factor (2FA).?";"";"";""
"SIR-003";"¿Las sesiones de usuario deben cerrarse automáticamente tras 15 minutos de inactividad.?";"";"";""
"SIR-004";"¿Toda la información ePHI transmitida fuera del entorno seguro debe estar cifrada mediante TLS 1.2 o superior.?";"";"";""
"SIR-005";"¿La base de datos debe cifrar la ePHI en reposo usando AES-256.?";"";"";""
"SIR-006";"¿El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.?";"";"";""
"SIR-007";"¿Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.?";"";"";""
"SIR-008";"¿El sistema debe validar de forma estricta todos los datos introducidos por usuarios para evitar inyecciones SQL o de comandos.?";"";"";""
"SIR-009";"¿El sistema debe contar con un plan documentado y probado de continuidad de negocio para asegurar la disponibilidad de la ePHI.?";"";"";""
"SIR-010";"¿El sistema debe realizar copias de seguridad automáticas y regulares de todos los datos que incluyan ePHI.?";"";"";""
"SIR-011";"¿Deben implementarse mecanismos de alta disponibilidad y redundancia para servicios críticos del sistema EHR.?";"";"";""
"SIR-012";"¿Debe monitorizarse en tiempo real la disponibilidad de los componentes y generar alertas ante fallos o degradación.?";"";"";""
"SIR-013";"¿El plan de continuidad debe incluir escenarios específicos de ciberataques como ransomware o denegación de servicio.?";"";"";""
"SIR-014";"¿Se deben definir y probar procedimientos de operación manual temporal para continuidad mínima del servicio.?";"";"";""
"SIR-015";"¿El sistema debe permitir la recolección explícita y documentada del consentimiento informado del paciente antes de procesar ePHI.?";"";"";""
"SIR-016";"¿El sistema debe permitir que el paciente revoque su consentimiento previamente otorgado, reflejando el cambio en tiempo real.?";"";"";""
"SIR-017";"¿El sistema debe aplicar principios de minimización de datos, recolectando y procesando solo la ePHI estrictamente necesaria.?";"";"";""
"SIR-018";"¿Debe implementarse trazabilidad detallada sobre qué usuarios acceden, consultan o modifican ePHI por paciente.?";"";"";""
"SIR-019";"¿El sistema debe permitir que el paciente acceda y revise su propia ePHI de forma segura.?";"";"";""
"SIR-020";"¿El sistema debe permitir que el paciente solicite la rectificación de su ePHI cuando identifique errores.?";"";"";""
"SIR-021";"¿El sistema debe anonimizar o seudonimizar los datos antes de su uso para fines secundarios.?";"";"";""
"SIR-022";"¿El sistema debe aplicar políticas de retención mínima de ePHI conforme a requisitos legales y clínicos, eliminando datos innecesarios.?";"";"";""
"SIR-023";"¿Los datos ePHI no deben transferirse a jurisdicciones fuera del país sin evaluaciones de riesgo y cumplimiento.?";"";"";""
"SIR-024";"¿El sistema debe proteger los metadatos asociados a ePHI para evitar inferencias indebidas.?";"";"";""
