id,requerimiento_id,descripcion,referencia_normativa,prioridad,justificacion,metodo_validacion,dependencias_exclusiones,categoria,ejemplo_practico,fecha_creacion,tag,norma_sugerida,legibility_score,ambiguous_terms
1,SIR-001,El sistema debe implementar control de acceso basado en roles (RBAC) para restringir el acceso a la ePHI según el perfil del usuario.,"NIST SP 800-53 Rev.5 AC-3, ISO 27002:2022 5.15, HIPAA 45 CFR §164.312(a)(1)",Alta,Minimiza el riesgo de acceso no autorizado a información sensible. Es fundamental para proteger la confidencialidad de los datos de salud.,Inspección del sistema de gestión de identidades y roles + prueba funcional de acceso.,"Depende de SIR-002 (gestión de identidades), excluye controles estáticos por usuario.","Broken Access Control (OWASP A01:2021), CWE-862","Usuario tipo ""administrativo"" no puede acceder a módulos clínicos como e-prescripción.",2025-04-11T15:24:55.675821+00:00,,,48.13,[]
4,SIR-002,El sistema debe autenticar a los usuarios mediante credenciales fuertes con doble factor (2FA).,"NIST SP 800-53 Rev.5 IA-2(1), ISO 27002:2022 5.17, DISA STIG V-222390",Alta,"Previene el acceso fraudulento por robo o suplantación de credenciales, especialmente en entornos expuestos (teletrabajo, móviles).",Revisión de política de autenticación y pruebas de acceso con 2FA.,Requiere integración de mecanismo 2FA seguro. Relacionado con SIR-001 y SIR-006.,"Identification and Authentication Failures (OWASP A07:2021), CWE-287",Uso de aplicación de autenticación OTP como Google Authenticator o claves FIDO2.,2025-04-11T16:16:12.455682+00:00,,,40.35,[]
5,SIR-003,Las sesiones de usuario deben cerrarse automáticamente tras 15 minutos de inactividad.,"HIPAA 45 CFR §164.312(b), DISA STIG V-222389, NIST AC-12",Media,Reduce el riesgo de secuestro de sesión cuando un usuario deja una sesión activa sin supervisión.,Configuración del sistema + pruebas de expiración de sesión.,Requiere mecanismo de monitoreo de actividad de sesión.,"Session Management, Broken Access Control",El sistema cierra automáticamente la sesión del médico tras 15 minutos sin uso.,2025-04-11T16:16:12.455682+00:00,,,42.38,[]
6,SIR-004,Toda la información ePHI transmitida fuera del entorno seguro debe estar cifrada mediante TLS 1.2 o superior.,"HIPAA 45 CFR §164.312(e)(1), ISO 27799:2016 10.1, NIST SC-12, DISA STIG V-222396",Alta,Protege la confidencialidad e integridad de la ePHI durante su transmisión en redes no confiables.,"Análisis de red, escaneo de configuración SSL/TLS.","Complementa SIR-005 (cifrado en reposo), requiere certificados válidos.","Cryptographic Failures (OWASP A02:2021), CWE-311",El acceso a OpenEMR vía navegador se realiza exclusivamente por HTTPS.,2025-04-11T16:16:12.455682+00:00,,,37.47,[]
7,SIR-005,La base de datos debe cifrar la ePHI en reposo usando AES-256.,"NIST SC-28, ISO 27002:2022 10.1, HIPAA 45 CFR §164.312(a)(2)(iv)",Alta,Protege la confidencialidad de los datos en caso de acceso físico o lógico a los servidores.,Revisión técnica del sistema de almacenamiento y configuración de cifrado.,Relacionado con SIR-004.,"Cryptographic Failures, Data at Rest Protection",Cifrado de discos mediante LUKS o cifrado nativo en MySQL con claves almacenadas en KMS.,2025-04-11T16:16:12.455682+00:00,,,84.68,[]
8,SIR-006,"El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.","NIST AU-2, ISO 27002:2022 5.25, HIPAA 45 CFR §164.312(b)",Alta,Permite detectar accesos no autorizados o anómalos a información crítica.,"Revisión de archivos de log, pruebas de auditoría.",Requiere mecanismos de retención y protección de logs (ver SIR-007).,"Security Logging and Monitoring (OWASP A09:2021), CWE-778",Registro automático de todas las consultas y ediciones a fichas de pacientes.,2025-04-11T16:16:12.455682+00:00,,,36.28,[]
9,SIR-007,Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.,"HIPAA §164.316(b), NIST AU-11, ISO 27002:2022 5.27",Alta,Garantiza evidencia de cumplimiento y soporte en auditorías.,Configuración de retención y control de integridad de logs.,Requiere implementación de SIR-006.,"Audit and Accountability, Non-Repudiation",Almacenamiento en sistema WORM o SIEM con control de integridad.,2025-04-11T16:16:12.455682+00:00,,,29.86,[]
10,SIR-008,El sistema debe validar de forma estricta todos los datos introducidos por usuarios para evitar inyecciones SQL o de comandos.,"OWASP A03:2021, CWE-89, CWE-77, NIST SI-10",Alta,Previene ataques que podrían comprometer la integridad del sistema y exfiltrar información sensible.,"Revisión de código, pruebas de penetración y fuzzing.",Relacionado con controles de desarrollo seguro.,"Injection, Improper Input Validation",Uso de sentencias preparadas y validación de campos.,2025-04-11T16:16:12.455682+00:00,,,17.34,[]
11,SIR-009,El sistema debe contar con un plan documentado y probado de continuidad de negocio para asegurar la disponibilidad de la ePHI.,"ISO 27002:2022 5.30, NIST CP-2, HIPAA 45 CFR §164.308(a)(7)(i)",Alta,"Garantiza la disponibilidad de la ePHI ante desastres naturales, fallos tecnológicos o ataques.",Revisión del plan de continuidad y pruebas de simulación.,Relacionado con SIR-010 y SIR-011.,"Business Continuity, Availability Management",Plan de recuperación con objetivos RTO < 4h y RPO < 1h.,2025-04-11T16:16:12.455682+00:00,,,33.24,[]
12,SIR-010,El sistema debe realizar copias de seguridad automáticas y regulares de todos los datos que incluyan ePHI.,"HIPAA 45 CFR §164.308(a)(7)(ii)(A), NIST CP-9, ISO 27002:2022 5.33",Alta,Asegura la restauración de la ePHI ante fallos o incidentes.,Auditoría de políticas de backup y verificación de registros.,Relacionado con SIR-009 y SIR-005.,"Data Recovery, Resilience",Copias incrementales diarias y completas semanales cifradas en AWS Glacier.,2025-04-11T16:16:12.455682+00:00,,,54.22,[]
13,SIR-011,Deben implementarse mecanismos de alta disponibilidad y redundancia para servicios críticos del sistema EHR.,"NIST SC-6, ISO 27002:2022 5.30, OWASP A08:2021",Alta,Minimiza el impacto de fallas en servicios críticos.,Inspección de arquitectura y simulación de fallos.,Requiere monitoreo activo (ver SIR-012).,"Availability, Infrastructure Security",Balanceo de carga activo-activo y clúster multi-zona en AWS.,2025-04-11T16:16:12.455682+00:00,,,6.5,[]
14,SIR-012,Debe monitorizarse en tiempo real la disponibilidad de los componentes y generar alertas ante fallos o degradación.,"NIST IR-5, ISO 27002:2022 5.22, HIPAA §164.308(a)(6)",Alta,Permite la detección temprana de incidentes para reducir tiempos de recuperación.,Verificación de integración de herramientas de monitoreo.,Complementa SIR-011 y SIR-009.,"Monitoring & Alerting, Logging and Monitoring","Integración con Prometheus, Grafana y alertas en canales 24/7.",2025-04-11T16:16:12.455682+00:00,,,37.3,[]
15,SIR-013,El plan de continuidad debe incluir escenarios específicos de ciberataques como ransomware o denegación de servicio.,"NIST CP-2, DISA STIG, ISO 27002:2022 5.24",Media,Asegura que el plan de continuidad aborde amenazas cibernéticas.,Análisis de escenarios y simulacros de recuperación.,"Relacionado con SIR-009, SIR-006 y SIR-010.",Incident Response & Resilience,Simulacros de ransomware con restauración desde backup limpio.,2025-04-11T16:16:12.455682+00:00,,,29.86,[]
