"id";"description";"tag";"norma_sugerida"
"SIR-001";"El sistema debe implementar control de acceso basado en roles (RBAC) para restringir el acceso a la ePHI según el perfil del usuario.";"covered";"NIST SP 800-53 Rev.5 AC-3, ISO 27002:2022 5.15, HIPAA 45 CFR §164.312(a)(1)"
"SIR-002";"El sistema debe autenticar a los usuarios mediante credenciales fuertes con doble factor (2FA).";"covered";"NIST SP 800-53 Rev.5 IA-2(1), ISO 27002:2022 5.17, DISA STIG V-222390"
"SIR-003";"Las sesiones de usuario deben cerrarse automáticamente tras 15 minutos de inactividad.";"covered";"HIPAA 45 CFR §164.312(b), DISA STIG V-222389, NIST AC-12"
"SIR-004";"Toda la información ePHI transmitida fuera del entorno seguro debe estar cifrada mediante TLS 1.2 o superior.";"covered";"HIPAA 45 CFR §164.312(e)(1), ISO 27799:2016 10.1, NIST SC-12, DISA STIG V-222396"
"SIR-005";"La base de datos debe cifrar la ePHI en reposo usando AES-256.";"covered";"NIST SC-28, ISO 27002:2022 10.1, HIPAA 45 CFR §164.312(a)(2)(iv)"
"SIR-006";"El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.";"covered";"NIST AU-2, ISO 27002:2022 5.25, HIPAA 45 CFR §164.312(b)"
"SIR-007";"Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.";"covered";"HIPAA §164.316(b), NIST AU-11, ISO 27002:2022 5.27"
"SIR-008";"El sistema debe validar de forma estricta todos los datos introducidos por usuarios para evitar inyecciones SQL o de comandos.";"covered";"OWASP A03:2021, CWE-89, CWE-77, NIST SI-10"
"SIR-009";"El sistema debe contar con un plan documentado y probado de continuidad de negocio para asegurar la disponibilidad de la ePHI.";"covered";"ISO 27002:2022 5.30, NIST CP-2, HIPAA 45 CFR §164.308(a)(7)(i)"
"SIR-010";"El sistema debe realizar copias de seguridad automáticas y regulares de todos los datos que incluyan ePHI.";"covered";"HIPAA 45 CFR §164.308(a)(7)(ii)(A), NIST CP-9, ISO 27002:2022 5.33"
"SIR-011";"Deben implementarse mecanismos de alta disponibilidad y redundancia para servicios críticos del sistema EHR.";"covered";"NIST SC-6, ISO 27002:2022 5.30, OWASP A08:2021"
"SIR-012";"Debe monitorizarse en tiempo real la disponibilidad de los componentes y generar alertas ante fallos o degradación.";"covered";"NIST IR-5, ISO 27002:2022 5.22, HIPAA §164.308(a)(6)"
"SIR-013";"El plan de continuidad debe incluir escenarios específicos de ciberataques como ransomware o denegación de servicio.";"covered";"NIST CP-2, DISA STIG, ISO 27002:2022 5.24"
"SIR-014";"Se deben definir y probar procedimientos de operación manual temporal para continuidad mínima del servicio.";"covered";"ISO 27002:2022 5.29, NIST CP-10, Canada Health Infoway Req. 31"
"SIR-015";"El sistema debe permitir la recolección explícita y documentada del consentimiento informado del paciente antes de procesar ePHI.";"covered";"ISO 27799:2016 8.1.3, HIPAA §164.508, Canada Health Infoway Req. 4"
"SIR-016";"El sistema debe permitir que el paciente revoque su consentimiento previamente otorgado, reflejando el cambio en tiempo real.";"covered";"HIPAA §164.522(b), ISO 27799:2016 8.1.4"
"SIR-017";"El sistema debe aplicar principios de minimización de datos, recolectando y procesando solo la ePHI estrictamente necesaria.";"covered";"ISO 27799:2016 7.1.3, NIST AP-1, Canada Health Infoway Req. 8"
"SIR-018";"Debe implementarse trazabilidad detallada sobre qué usuarios acceden, consultan o modifican ePHI por paciente.";"covered";"HIPAA §164.312(b), ISO 27002:2022 5.26, NIST AU-3"
"SIR-019";"El sistema debe permitir que el paciente acceda y revise su propia ePHI de forma segura.";"covered";"HIPAA §164.524, ISO 27799:2016 8.2.1, Canada Health Infoway Req. 5"
"SIR-020";"El sistema debe permitir que el paciente solicite la rectificación de su ePHI cuando identifique errores.";"covered";"HIPAA §164.526, ISO 27799:2016 8.2.2, NIST AP-2"
"SIR-021";"El sistema debe anonimizar o seudonimizar los datos antes de su uso para fines secundarios.";"covered";"ISO 27799:2016 9.3, NIST PM-19, Canada Health Infoway Req. 11"
"SIR-022";"El sistema debe aplicar políticas de retención mínima de ePHI conforme a requisitos legales y clínicos, eliminando datos innecesarios.";"covered";"HIPAA §164.316(b), ISO 27799:2016 9.1, NIST DM-2"
"SIR-023";"Los datos ePHI no deben transferirse a jurisdicciones fuera del país sin evaluaciones de riesgo y cumplimiento.";"covered";"ISO 27799:2016 9.2, NIST PM-5, Canada Health Infoway Req. 14"
"SIR-024";"El sistema debe proteger los metadatos asociados a ePHI para evitar inferencias indebidas.";"covered";"ISO 27799:2016 7.5.2, NIST AC-16, OWASP Top 10 Privacy Risks (P4)"
