Req_1_ID,Req_1,Req_2_ID,Req_2,Similarity
SIR-001,El sistema debe implementar control de acceso basado en roles (RBAC) para restringir el acceso a la ePHI según el perfil del usuario.,SIR-025,"El sistema debe diferenciar claramente el acceso a datos identificables, seudonimizados y anonimizados mediante control de roles.",0.72783023
SIR-005,La base de datos debe cifrar la ePHI en reposo usando AES-256.,SIR-116,Las bases de datos que almacenen ePHI deben estar cifradas en reposo utilizando mecanismos de cifrado robustos (AES-256 o superior).,0.70048046
SIR-006,"El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.",SIR-082,"Todo acceso físico debe registrarse, conservarse al menos por 1 año y estar disponible para auditoría en caso de incidentes.",0.77038413
SIR-006,"El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.",SIR-107,"Todo uso de cuentas con privilegios elevados debe ser registrado con auditoría detallada, incluyendo hora, acciones realizadas y motivo del acceso.",0.7154519
SIR-006,"El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.",SIR-128,"Cada transacción FHIR debe registrarse en logs auditables incluyendo ID de recurso accedido, tiempo, usuario y aplicación origen.",0.7972187
SIR-006,"El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.",SIR-154,"Todo acceso a sistemas legados debe registrarse con logs auditables, firmados o almacenados en sistemas externos de forma inmutable.",0.74706036
SIR-007,Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.,SIR-055,Los registros deben conservarse de forma segura y protegida contra alteraciones durante al menos 6 años.,0.73537374
SIR-007,Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.,SIR-082,"Todo acceso físico debe registrarse, conservarse al menos por 1 año y estar disponible para auditoría en caso de incidentes.",0.7542629
SIR-007,Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.,SIR-107,"Todo uso de cuentas con privilegios elevados debe ser registrado con auditoría detallada, incluyendo hora, acciones realizadas y motivo del acceso.",0.7357645
SIR-009,El sistema debe contar con un plan documentado y probado de continuidad de negocio para asegurar la disponibilidad de la ePHI.,SIR-155,La continuidad del uso de sistemas legados debe estar justificada documentalmente con un análisis de riesgo y plan de migración progresivo.,0.74481523
SIR-010,El sistema debe realizar copias de seguridad automáticas y regulares de todos los datos que incluyan ePHI.,SIR-048,Toda configuración de sistema debe estar sujeta a control de cambios formal con aprobación y trazabilidad.,0.702616
SIR-012,Debe monitorizarse en tiempo real la disponibilidad de los componentes y generar alertas ante fallos o degradación.,SIR-063,El sistema debe monitorear continuamente la disponibilidad de la infraestructura crítica y enviar alertas automáticas ante eventos anómalos.,0.78343964
SIR-013,El plan de continuidad debe incluir escenarios específicos de ciberataques como ransomware o denegación de servicio.,SIR-103,"Debe implementarse una solución de protección contra ransomware en endpoints, servidores y cargas cloud con detección basada en comportamiento (EDR).",0.8079188
SIR-013,El plan de continuidad debe incluir escenarios específicos de ciberataques como ransomware o denegación de servicio.,SIR-105,"El sistema debe enviar alertas en tiempo real al detectar patrones compatibles con ataques de ransomware, como aumento anómalo de escrituras o cambios masivos en archivos.",0.7147841
SIR-015,El sistema debe permitir la recolección explícita y documentada del consentimiento informado del paciente antes de procesar ePHI.,SIR-016,"El sistema debe permitir que el paciente revoque su consentimiento previamente otorgado, reflejando el cambio en tiempo real.",0.71377873
SIR-015,El sistema debe permitir la recolección explícita y documentada del consentimiento informado del paciente antes de procesar ePHI.,SIR-018,"Debe implementarse trazabilidad detallada sobre qué usuarios acceden, consultan o modifican ePHI por paciente.",0.7218636
SIR-015,El sistema debe permitir la recolección explícita y documentada del consentimiento informado del paciente antes de procesar ePHI.,SIR-019,El sistema debe permitir que el paciente acceda y revise su propia ePHI de forma segura.,0.7884153
SIR-015,El sistema debe permitir la recolección explícita y documentada del consentimiento informado del paciente antes de procesar ePHI.,SIR-020,El sistema debe permitir que el paciente solicite la rectificación de su ePHI cuando identifique errores.,0.8487838
SIR-015,El sistema debe permitir la recolección explícita y documentada del consentimiento informado del paciente antes de procesar ePHI.,SIR-022,"El sistema debe aplicar políticas de retención mínima de ePHI conforme a requisitos legales y clínicos, eliminando datos innecesarios.",0.7272178
