requerimiento_id,descripcion,legibility_score,similitud_maxima
SIR-001,El sistema debe implementar control de acceso basado en roles (RBAC) para restringir el acceso a la ePHI según el perfil del usuario.,48.13,0.73-SIR-025
SIR-002,El sistema debe autenticar a los usuarios mediante credenciales fuertes con doble factor (2FA).,40.35,0.61-SIR-039
SIR-003,Las sesiones de usuario deben cerrarse automáticamente tras 15 minutos de inactividad.,42.38,0.60-SIR-132
SIR-004,Toda la información ePHI transmitida fuera del entorno seguro debe estar cifrada mediante TLS 1.2 o superior.,37.47,0.70-SIR-111
SIR-005,La base de datos debe cifrar la ePHI en reposo usando AES-256.,84.68,0.70-SIR-116
SIR-006,"El sistema debe registrar y auditar todos los accesos a la ePHI, incluyendo fecha, usuario, acción y resultado.",36.28,0.80-SIR-128
SIR-007,Los registros de auditoría deben almacenarse de forma protegida e inalterable durante al menos 6 años.,29.86,0.75-SIR-082
SIR-008,El sistema debe validar de forma estricta todos los datos introducidos por usuarios para evitar inyecciones SQL o de comandos.,17.34,0.67-SIR-028
SIR-009,El sistema debe contar con un plan documentado y probado de continuidad de negocio para asegurar la disponibilidad de la ePHI.,33.24,0.74-SIR-155
SIR-010,El sistema debe realizar copias de seguridad automáticas y regulares de todos los datos que incluyan ePHI.,54.22,0.70-SIR-048
SIR-011,Deben implementarse mecanismos de alta disponibilidad y redundancia para servicios críticos del sistema EHR.,6.5,0.62-SIR-153
SIR-012,Debe monitorizarse en tiempo real la disponibilidad de los componentes y generar alertas ante fallos o degradación.,37.3,0.78-SIR-063
SIR-013,El plan de continuidad debe incluir escenarios específicos de ciberataques como ransomware o denegación de servicio.,29.86,0.81-SIR-103
SIR-014,Se deben definir y probar procedimientos de operación manual temporal para continuidad mínima del servicio.,22.41,0.59-SIR-062
SIR-015,El sistema debe permitir la recolección explícita y documentada del consentimiento informado del paciente antes de procesar ePHI.,10.91,0.85-SIR-020
SIR-016,"El sistema debe permitir que el paciente revoque su consentimiento previamente otorgado, reflejando el cambio en tiempo real.",27.83,0.78-SIR-019
SIR-017,"El sistema debe aplicar principios de minimización de datos, recolectando y procesando solo la ePHI estrictamente necesaria.",37.3,0.66-SIR-022
SIR-018,"Debe implementarse trazabilidad detallada sobre qué usuarios acceden, consultan o modifican ePHI por paciente.",-10.42,0.73-SIR-019
SIR-019,El sistema debe permitir que el paciente acceda y revise su propia ePHI de forma segura.,55.24,0.82-SIR-020
SIR-020,El sistema debe permitir que el paciente solicite la rectificación de su ePHI cuando identifique errores.,38.32,0.85-SIR-015
SIR-021,El sistema debe anonimizar o seudonimizar los datos antes de su uso para fines secundarios.,56.25,0.58-SIR-045
SIR-022,"El sistema debe aplicar políticas de retención mínima de ePHI conforme a requisitos legales y clínicos, eliminando datos innecesarios.",26.81,0.73-SIR-015
SIR-023,Los datos ePHI no deben transferirse a jurisdicciones fuera del país sin evaluaciones de riesgo y cumplimiento.,54.22,0.61-SIR-080
SIR-024,El sistema debe proteger los metadatos asociados a ePHI para evitar inferencias indebidas.,24.44,0.63-SIR-050
SIR-025,"El sistema debe diferenciar claramente el acceso a datos identificables, seudonimizados y anonimizados mediante control de roles.",11.92,0.73-SIR-001
SIR-026,"El sistema debe permitir establecer políticas de acceso diferencial en función del contexto de uso (atención, auditoría, investigación).",10.91,0.66-SIR-140
SIR-027,El sistema debe notificar al paciente cuando su ePHI sea accedida para usos no asistenciales o por terceros.,44.75,0.77-SIR-019
SIR-028,El sistema debe aplicar validación estricta de entradas tanto del lado cliente como del servidor para prevenir inyecciones y corrupción de datos.,40.69,0.69-SIR-087
SIR-029,"El sistema debe evitar el uso de credenciales hardcoded, usando mecanismos seguros para la gestión de secretos.",28.84,0.58-SIR-110
SIR-030,Todo código fuente debe ser revisado por al menos un segundo desarrollador antes de entrar a producción.,37.3,0.68-SIR-041
SIR-031,Las dependencias y componentes de terceros deben ser analizados contra vulnerabilidades conocidas (SBOM).,7.52,0.63-SIR-076
SIR-032,El sistema debe aplicar parches de seguridad de manera periódica y automatizada.,25.46,0.65-SIR-141
SIR-033,Se debe implementar control de versiones y gestión de cambios en todos los activos de software.,55.24,0.73-SIR-048
SIR-034,El sistema debe incluir un proceso formal de gestión y respuesta a incidentes de seguridad.,47.79,0.72-SIR-036
SIR-035,Se deben definir métricas y criterios de severidad para clasificar los incidentes de seguridad.,31.89,0.72-SIR-034
SIR-036,"El sistema debe notificar al oficial de privacidad y seguridad, así como a los usuarios afectados, cuando ocurra una violación de ePHI.",32.22,0.72-SIR-034
SIR-037,"Todos los incidentes deben documentarse en un registro centralizado con fecha, tipo, impacto, medidas y seguimiento.",29.86,0.66-SIR-054
SIR-038,"El personal debe recibir formación periódica en detección, reporte y actuación ante incidentes de seguridad.",22.41,0.64-SIR-019
SIR-039,Todo acceso a OpenEMR debe estar sujeto a autenticación mediante credenciales únicas e intransferibles por usuario.,4.47,0.66-SIR-131
SIR-040,El sistema debe forzar el cambio periódico de credenciales según política definida (mínimo cada 90 días).,46.78,0.67-SIR-045
SIR-041,"Toda cuenta de usuario debe estar sujeta a un proceso de alta, baja y modificación controlado (ciclo de vida IAM).",25.8,0.68-SIR-030
SIR-042,Se deben registrar intentos de acceso fallidos y generar alertas ante patrones sospechosos (ej. 5 intentos).,29.86,0.64-SIR-006
SIR-043,"El sistema debe soportar federación de identidad para facilitar el acceso seguro de usuarios externos (SSO, SAML, OIDC).",27.83,0.62-SIR-054
SIR-044,"El sistema debe deshabilitar o eliminar todos los servicios, puertos y protocolos no utilizados en los servidores.",20.38,0.57-SIR-081
SIR-045,Todos los sistemas deben aplicar políticas seguras de contraseñas a nivel de sistema operativo.,40.35,0.67-SIR-040
SIR-046,"El sistema debe mantener un benchmark de configuración segura basado en STIG, CIS o similar, revisado periódicamente.",28.84,0.63-SIR-010
SIR-047,"Las configuraciones de aplicaciones web deben evitar listados de directorios y acceso a archivos ocultos, y mostrar mensajes de error genéricos.",24.78,0.57-SIR-078
SIR-048,Toda configuración de sistema debe estar sujeta a control de cambios formal con aprobación y trazabilidad.,29.86,0.73-SIR-033
SIR-049,El acceso a OpenEMR desde dispositivos móviles debe estar restringido a través de mecanismos como MDM o listas de dispositivos autorizados.,16.32,0.67-SIR-052
SIR-050,El sistema debe exigir cifrado en disco completo en dispositivos móviles que accedan a ePHI.,47.79,0.69-SIR-036
SIR-051,Los dispositivos móviles deben tener políticas de bloqueo automático tras un período de inactividad definido.,39.33,0.64-SIR-045
SIR-052,Se debe permitir el borrado remoto de datos ePHI en dispositivos móviles extraviados o comprometidos.,22.41,0.68-SIR-050
SIR-053,El acceso a ePHI desde navegadores en dispositivos móviles debe requerir canales seguros (HTTPS) y expiración reforzada de sesión.,35.27,0.66-SIR-111
SIR-054,El sistema debe centralizar los registros de eventos de seguridad y actividad de usuarios en una solución SIEM que permita su análisis y correlación.,47.12,0.66-SIR-037
SIR-055,Los registros deben conservarse de forma segura y protegida contra alteraciones durante al menos 6 años.,38.32,0.74-SIR-007
SIR-056,El sistema debe permitir la generación automatizada de reportes de auditoría para revisiones periódicas.,6.5,0.64-SIR-089
SIR-057,Se deben definir y aplicar reglas de correlación en el SIEM para detectar patrones anómalos o indicios de ataque.,60.65,0.71-SIR-152
SIR-058,El sistema debe permitir la visualización en tiempo real de indicadores de seguridad clave (KPI) mediante tableros.,37.3,0.56-SIR-010
SIR-059,El sistema debe contar con arquitectura redundante y balanceo de carga para asegurar la continuidad del servicio ante fallos en componentes individuales.,15.31,0.59-SIR-014
SIR-060,Los componentes críticos del sistema deben incluir mecanismos automáticos de detección de fallos y recuperación sin intervención humana.,10.91,0.63-SIR-051
SIR-061,Debe existir un mecanismo de replicación síncrona o asíncrona para las bases de datos y almacenamiento que contenga ePHI.,35.27,0.66-SIR-141
SIR-062,El sistema debe establecer objetivos de RTO y RPO documentados para cada servicio crítico y validarlos mediante pruebas periódicas.,1.43,0.67-SIR-155
SIR-063,El sistema debe monitorear continuamente la disponibilidad de la infraestructura crítica y enviar alertas automáticas ante eventos anómalos.,2.44,0.78-SIR-012
SIR-064,"El sistema debe garantizar la trazabilidad completa de todas las modificaciones realizadas sobre registros clínicos, incluyendo quién, cuándo y qué se modificó.",15.31,0.78-SIR-068
SIR-065,El sistema debe aplicar controles automáticos de integridad que validen que los datos clínicos almacenados no han sido alterados de forma no autorizada.,22.75,0.74-SIR-119
SIR-066,"Debe establecerse un modelo de gobierno de datos que defina responsables, procesos de validación y control de calidad sobre la información clínica.",6.84,0.73-SIR-153
SIR-067,Los datos clínicos deben estar sujetos a reglas de validación semántica y estructural antes de su persistencia.,28.84,0.63-SIR-153
SIR-068,"El sistema debe conservar los registros clínicos íntegros, completos y accesibles durante el tiempo legalmente establecido según la jurisdicción aplicable.",0.42,0.78-SIR-064
SIR-069,El sistema debe contar con soluciones antimalware actualizadas en todos los servidores y estaciones de trabajo que acceden a OpenEMR.,34.26,0.63-SIR-102
SIR-070,Debe implementarse un sistema de detección de intrusos (IDS) para monitorear tráfico y alertar sobre patrones maliciosos o no autorizados.,0.42,0.83-SIR-152
SIR-071,Los servidores deben contar con capacidades EDR (Endpoint Detection and Response) que permitan análisis de comportamiento y contención automática de amenazas.,24.78,0.56-SIR-143
SIR-072,"El sistema debe bloquear automáticamente direcciones IP que generen patrones de ataque automatizado como escaneos, fuerza bruta o consultas malformadas.",8.88,0.63-SIR-070
SIR-073,Los archivos adjuntos y cargas de datos en OpenEMR deben ser escaneados por antivirus antes de almacenarse o procesarse.,35.27,0.63-SIR-102
SIR-074,"Se debe mantener un Software Bill of Materials (SBOM) actualizado con todas las bibliotecas, dependencias y componentes de terceros utilizados en OpenEMR.",15.31,0.56-SIR-075
SIR-075,"Todos los paquetes, bibliotecas y artefactos de terceros utilizados deben verificarse mediante firma digital antes de su incorporación al entorno productivo.",-0.61,0.56-SIR-074
