"ID","Requisito generado","Artículo/Fuente","¿Extraído correctamente?","Justificación/Comentarios","Nivel de fidelidad","Tipo de error (si aplica)","Legibility_Score","Max_Similarity","Porcentaje de Calidad"
"SEC-CAT-BAC-001","The application will implement and apply dual access control prior to deleting users, medical records.","NIST SP 800-53 Rev.5 AC-3, HIPAA 45 CFR §164.312(a)(1), ISO/IEC 27002:2022 5.15","Sí","Requisito coherente con el principio de control de acceso obligatorio antes de acciones críticas. Cumple fidelidad normativa.","Alta","","13.95","0.57-SEC-CAT-LMF-010","58.49"
"SEC-CAT-BAC-002","The application must incorporate robust access control mechanisms to prevent circumvention of access control checks by manipulating the URL. The following access control bypass tactics should be avoided and counteracted: 1. Modification of the URL (parameter manipulation or forced navigation). 2. Modification of the internal state of the application. 3. Modification of the HTML page. 4. Use of attack tools to modify API requests","OWASP A01:2021, CWE-639, NIST SP 800-53 AC-4, AC-6(1)","Sí","Evita control de acceso roto por manipulación. Alineado con OWASP A01 y control de flujo NIST.","Alta","","18.31","0.64-SEC-CAT-IND-012","60.83"
"SEC-CAT-BAC-003","The application must implement security measures to prevent the elevation of privileges. Prevent situations where a user can act without being authenticated or an administrator can act as a regular user after logging in.","OWASP A01:2021, NIST SP 800-53 AC-2(4), ISO/IEC 27002:2022 5.18","Sí","El requerimiento cubre controles para evitar escaladas de privilegios. Fidelidad clara.","Alta","","20.38","0.71-SEC-CAT-IAF-036","63.60"
"SEC-CAT-BAC-004","The application must enforce strict and flexible access controls for authorized users, preventing unauthorized access to the API and ensuring record ownership.","NIST SP 800-53 AC-3, AC-6, ISO/IEC 27002:2022 5.17","Sí","El requisito refleja el principio de acceso mínimo y control API, normativamente sólido.","Alta","","6.84","0.67-SEC-CAT-BAC-003","54.71"
"SEC-CAT-BAC-005","The application must prevent unauthorized access to data processing devices and assign roles to users to protect the integrity of ePHI against unauthorized alterations.","HIPAA §164.312(a)(1), NIST SP 800-53 AC-2, AC-19","Sí","Alineado con HIPAA y NIST para control físico y lógico de acceso a ePHI.","Alta","","4.82","0.72-SEC-CAT-SDF-007","54.71"
"SEC-CAT-BAC-006","The system must allow users to be assigned to workgroups and grant access to records based on these groups. This access may be through a workstation, transaction, program, process, or other mechanism.","ISO/IEC 27002:2022 5.18, NIST SP 800-53 AC-2(7), SIREN: Control de acceso basado en roles","Sí","Cubre control de acceso por grupos/roles, compatible con SIREN y NIST.","Alta","","55.24","0.60-SEC-CAT-BAC-007","79.81"
"SEC-CAT-BAC-007","The system must implement measures to control who uses the data processing system by ensuring that users are authenticated with an individual authenticator before using a group authenticator.","NIST SP 800-53 IA-2, IA-8, ISO/IEC 27002:2022 5.15","Sí","Describe doble autenticación progresiva, alineada con controles de identificación.","Alta","","0.76","0.65-SEC-CAT-IND-002","49.19"
"SEC-CAT-BAC-008","The system is required to establish a formal process for user registration and deregistration, facilitating access to health information systems. This process must guarantee a consistent alignment between the authentication level, the mapping of users to roles, roles to system functions, and the level of access to be granted to the user.","ISO/IEC 27002:2022 5.17, NIST SP 800-53 AC-2, SIREN","Sí","Fuerte correspondencia con estándares para el ciclo de vida de cuentas.","Alta","","28.17","0.66-SEC-CAT-IAF-005","66.04"
"SEC-CAT-CRF-001","The system must implement a robust FIPS-validated cryptographic infrastructure to encrypt and decrypt electronically protected health information to ensure adequate protection of sensitive information.","HIPAA §164.312(e)(1), FIPS 140-2, NIST SP 800-53 SC-12","Sí","Alineado con estándares FIPS para cifrado obligatorio en ePHI.","Alta","","-29.03","0.61-SEC-CAT-CRF-005","43.76"
"SEC-CAT-CRF-002","The application must ensure the security of integrity and confidentiality during the transmission of ePHI over electronic networks following the technical safeguards standards established in the regulatory framework.","HIPAA §164.312(e)(1), NIST SP 800-53 SC-12, SC-13","Sí","Correctamente refleja controles de transmisión segura para ePHI.","Alta","","-16.17","0.72-SEC-CAT-LMF-001","44.70"
"SEC-CAT-CRF-003","The application must ensure secure storage of the session identifier, ensuring that at no time is the generated session ID included in requests via the URL.","OWASP A07:2021, NIST SP 800-53 SC-23, ISO/IEC 27002:2022 8.26","Sí","Prevención de exposición de identificadores de sesión mediante URL. Práctica de seguridad esencial.","Alta","","19.71","0.68-SEC-CAT-IAF-035","63.93"
"SEC-CAT-CRF-004","The application must ensure message encryption when the SessionIndex is linked to privacy data.","NIST SP 800-53 SC-12, SC-13, ISO/IEC 27002:2022 10.1","Sí","Protección del índice de sesión vinculado a datos personales mediante cifrado. Correcta alineación.","Alta","","31.89","0.67-SEC-CAT-CRF-003","69.47"
"SEC-CAT-CRF-005","The application must exclusively store cryptographic representations of passwords, following best practices and using FIPS-validated cryptographic modules.","HIPAA §164.312(d), NIST SP 800-53 IA-5(1), FIPS 140-2","Sí","Requisito bien redactado que exige uso de hash seguro y cumplimiento con FIPS.","Alta","","-21.93","0.61-SEC-CAT-CRF-001","43.76"
"SEC-CAT-INJ-001","The application must implement data entry validation measures before storing them to guarantee the integrity and security of the information processed, stored, or accessible through end-user point devices.","OWASP A03:2021, CWE-20, ISO/IEC 27002:2022 8.28","Sí","Buena práctica contra inyecciones. Obligatoriedad normativa y técnica clara.","Alta","","0.76","0.65-SEC-CAT-SEM-003","49.19"
